Alfa Romeo,2006,8c Competizione,Italy,Europe,Coupe,2,2,1600,450,8,V
Alfa Romeo,2003,8c Competizione,Italy,Europe,Coupe,2,2,1500,410,8,V
Alfa Romeo,2003,GTV 3.2 V6 24v,Italy,Europe,Coupe,2,2,1400,240,6,V
Alfa Romeo,2003,GT 3.2 V6,Italy,Europe,Coupe,2,2,1400,240,6,V
Alfa Romeo,2006,Brera 3.2 V6 Q4 Qtronic,Italy,Europe,Coupe,2,2,1700,260,6,V
Alfa Romeo,2005,Brera 3.2 V6 CM,Italy,Europe,Coupe,2,2,1600,260,6,V
Alfa Romeo,2007,Brera 2.4 JTDm,Italy,Europe,Coupe,2,2,1600,210,5,Inline
Alfa Romeo,2006,Brera 2.4 JTDm,Italy,Europe,Coupe,2,2,1600,200,5,Inline
Alfa Romeo,2003,GTV 2.0 Twin Spark,Italy,Europe,Coupe,2,2,1400,150,4,Inline
Alfa Romeo,2003,GTV 2.0 JTS,Italy,Europe,Coupe,2,2,1400,170,4,Inline
Alfa Romeo,2003,GT 2.0 JTS,Italy,Europe,Coupe,2,2,1300,170,4,Inline
Alfa Romeo,2003,GT 1.9 Multijet 16v,Italy,Europe,Coupe,2,2,1400,150,4,Inline
Alfa Romeo,2007,GT 1.8 TS 16V,Italy,Europe,Coupe,2,2,1400,140,4,Inline
Alfa Romeo,2005,Brera 2.2 JTS,Italy,Europe,Coupe,2,2,1500,180,4,Inline
Alfa Romeo,2006,Spider 3.2 V6 Q4 Qtronic,Italy,Europe,Coupe Soft Top,2,2,1700,260,6,V
Alfa Romeo,2006,Spider 3.2 V6 Q4,Italy,Europe,Coupe Soft Top,2,2,1700,260,6,V
Alfa Romeo,2003,Spider 3.2 V6 24v,Italy,Europe,Coupe Soft Top,2,2,1500,240,6,V
Alfa Romeo,2007,Spider 2.4 JTDm,Italy,Europe,Coupe Soft Top,2,2,1700,200,5,Inline
Alfa Romeo,2006,Spider 2.2 JTS,Italy,Europe,Coupe Soft Top,2,2,1500,180,4,Inline
Alfa Romeo,2003,Spider 2.0 Twin Spark,Italy,Europe,Coupe Soft Top,2,2,1400,150,4,Inline
Alfa Romeo,2003,Spider 2.0 JTS,Italy,Europe,Coupe Soft Top,2,2,1400,160,4,Inline
Alfa Romeo,2010,Spider 2.4 JTDm 20v Q-Tronic,Italy,Europe,Coupe Soft Top,2,4,1700,200,5,Inline
Alfa Romeo,2010,Spider 2.4 JTDm 20v,Italy,Europe,Coupe Soft Top,2,4,1700,210,5,Inline
Alfa Romeo,2002,147 GTA,Italy,Europe,Hatchback ,3,4,1400,250,6,V
Alfa Romeo,2008,MiTo 1.6 JTDm,Italy,Europe,Hatchback ,3,4,1200,120,4,Inline
Alfa Romeo,2008,MiTo 1.4 Turbo,Italy,Europe,Hatchback ,3,4,1100,160,4,Inline
Alfa Romeo,2008,MiTo 1.4 MPI,Italy,Europe,Hatchback ,3,4,1100,80,4,Inline
Alfa Romeo,2004,147 2.0 Twin Spark,Italy,Europe,Hatchback ,3,4,1300,150,4,Inline
Alfa Romeo,2000,147 2.0 T. Spark Selespeed,Italy,Europe,Hatchback ,3,4,1300,150,4,Inline
Alfa Romeo,2004,147 1.9 JTD,Italy,Europe,Hatchback ,3,4,1300,150,4,Inline
Alfa Romeo,2002,147 1.9 JTD,Italy,Europe,Hatchback ,3,4,1300,140,4,Inline
Alfa Romeo,2000,147 1.9 JTD,Italy,Europe,Hatchback ,3,4,1300,110,4,Inline
Alfa Romeo,2004,147 1.9 JTD,Italy,Europe,Hatchback ,3,4,1300,110,4,Inline
